step,train_loss,train_ppl,eval_loss,eval_ppl,lr,tok_s,expert_0_share,expert_1_share,expert_2_share,expert_3_share,expert_dead_count,shared_gate,routed_gate,shared_rms,routed_rms,shared_grad_norm,routed_grad_norm,expert_0_grad_norm,expert_1_grad_norm,expert_2_grad_norm,expert_3_grad_norm,expert_diversity_loss,expert_diversity_lambda,total_loss,router_aux_loss
420,5.251704,190.89,nan,nan,2.021561e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.251704,nan
430,5.207193,182.58,nan,nan,1.976393e-04,99990,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.207193,nan
440,5.170298,175.97,nan,nan,1.930833e-04,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.170298,nan
450,5.171742,176.22,nan,nan,1.884937e-04,99995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.171742,nan
460,5.156492,173.55,nan,nan,1.838758e-04,99972,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.156492,nan
470,5.150251,172.47,nan,nan,1.792353e-04,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.150251,nan
480,5.095213,163.24,nan,nan,1.745778e-04,99999,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.095213,nan
490,5.105223,164.88,nan,nan,1.699087e-04,100004,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.105223,nan
500,5.113510,166.25,nan,nan,1.652338e-04,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.113510,nan
510,5.083042,161.26,nan,nan,1.605586e-04,99983,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.083042,nan
520,5.107086,165.19,nan,nan,1.558887e-04,100014,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.107086,nan
530,5.038390,154.22,nan,nan,1.512297e-04,100013,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.038390,nan
540,5.008765,149.72,nan,nan,1.465873e-04,100011,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.008765,nan
550,5.000446,148.48,nan,nan,1.419669e-04,100011,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.000446,nan
560,4.985131,146.22,nan,nan,1.373742e-04,99967,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.985131,nan
570,5.013176,150.38,nan,nan,1.328146e-04,99994,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,5.013176,nan
580,4.979706,145.43,nan,nan,1.282937e-04,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.979706,nan
590,4.959855,142.57,nan,nan,1.238167e-04,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.959855,nan
600,4.979279,145.37,nan,nan,1.193892e-04,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.979279,nan
610,4.924621,137.64,nan,nan,1.150164e-04,99968,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.924621,nan
620,4.933928,138.92,nan,nan,1.107035e-04,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.933928,nan
630,4.925505,137.76,nan,nan,1.064558e-04,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.925505,nan
640,4.931228,138.55,nan,nan,1.022783e-04,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.931228,nan
650,4.915500,136.39,nan,nan,9.817605e-05,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.915500,nan
660,4.910045,135.65,nan,nan,9.415396e-05,99962,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.910045,nan
670,4.867507,130.00,nan,nan,9.021686e-05,99994,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.867507,nan
680,4.893500,133.42,nan,nan,8.636947e-05,99995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.893500,nan
690,4.880351,131.68,nan,nan,8.261641e-05,99994,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.880351,nan
700,4.880649,131.72,nan,nan,7.896217e-05,99989,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.880649,nan
710,4.871902,130.57,nan,nan,7.541115e-05,99965,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.871902,nan
720,4.864316,129.58,nan,nan,7.196760e-05,99995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.864316,nan
730,4.862390,129.33,nan,nan,6.863566e-05,99998,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.862390,nan
740,4.864133,129.56,nan,nan,6.541931e-05,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.864133,nan
750,4.837445,126.15,4.843310,126.89,6.232242e-05,99994,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.837445,nan
760,4.829453,125.14,nan,nan,5.934871e-05,96965,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.829453,nan
770,4.836287,126.00,nan,nan,5.650173e-05,99992,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.836287,nan
780,4.844022,126.98,nan,nan,5.378492e-05,99993,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.844022,nan
790,4.809329,122.65,nan,nan,5.120151e-05,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.809329,nan
800,4.817122,123.61,nan,nan,4.875463e-05,99997,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.817122,nan
810,4.821642,124.17,nan,nan,4.644719e-05,99971,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.821642,nan
820,4.818593,123.79,nan,nan,4.428197e-05,100003,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.818593,nan
830,4.821186,124.11,nan,nan,4.226156e-05,100009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.821186,nan
840,4.809658,122.69,nan,nan,4.038839e-05,100013,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.809658,nan
850,4.840306,126.51,nan,nan,3.866471e-05,100009,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.840306,nan
860,4.818877,123.83,nan,nan,3.709259e-05,99970,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.818877,nan
870,4.810474,122.79,nan,nan,3.567390e-05,100000,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.810474,nan
880,4.781619,119.30,nan,nan,3.441035e-05,100005,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.781619,nan
890,4.779333,119.02,nan,nan,3.330346e-05,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.779333,nan
900,4.781103,119.24,nan,nan,3.235456e-05,100001,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.781103,nan
910,4.804965,122.12,nan,nan,3.156478e-05,99965,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.804965,nan
920,4.787944,120.05,nan,nan,3.093507e-05,99996,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.787944,nan
930,4.773819,118.37,nan,nan,3.046619e-05,99995,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.773819,nan
940,4.761784,116.95,nan,nan,3.015869e-05,99993,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.761784,nan
950,4.784939,119.69,nan,nan,3.001296e-05,99993,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000e+00,4.784939,nan
